Title,Date,Status,Abstract,Specifications,IPR,Link,Technical Areas
Internet 2,7/01/2015(Last Updated: 07/01/2015),Active,"Internet2 is a not-for-profit United States computer networking consortium. The Consortium operates the Internet2 Network, an Internet Protocol network using optical fiber that delivers network services for research and education, and provides a secure network testing and research environment.",,http://www.internet2.edu/membership/ip.html ,http://www.internet2.edu/,"['Americas', 'Architecture and Infrastructure', 'Business Models and Collaboration', 'De Jure Standards Development Organizations', 'Internet', 'Interoperability', 'National', 'Network', 'Other Categories', 'Security & Cybersecurity', 'Select by Geography', 'Technical Categories']"
Internet Streaming Media Alliance (ISMA),7/01/2015(Last Updated: 07/01/2015),Inactive,"ISMA was a global alliance dedicated to the adoption and deployment of open standards for streaming rich media such as video, audio, and associated data over Internet protocols. *Merged with MPEGIF in 2010",http://www.oipf.tv/isma-technical-specifications ,http://www.oipf.tv/ipr-policy ,http://www.isma.tv/,"['Audio/Video/Multimedia', 'Internet', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
IoTivity,4/27/2016(Last Updated: 04/27/2016),Active,IoTivity develops and maintains an open source software framework enabling device-to-device connectivity to address the needs of the Internet of Things.,https://openconnectivity.org/developer/specifications/ ,https://github.com/iotivity/iotivity-lite/blob/master/license.md ,www.iotivity.org,"['Internet of Things', 'Interoperability', 'Open Source Initiatives', 'Significant Open Source Foundations', 'Software', 'Technical Categories']"
iVDR Consortium,7/08/2015(Last Updated: 07/08/2015),Inactive,"The iVDR Consortium promoted and managed the iVDR standard. iVDR, or Information Versatile Disk for Removable usage, is a portable HDD cartridge standard. iVDR is a recording media similar to a hard disk drive.",,,,"['Asia', 'Audio/Video/Multimedia', 'Consumer Electronics and Content', 'Electronics', 'Hardware', 'Industry Categories', 'Other Categories', 'Promotional & Trade Associations', 'Select by Geography', 'Technical Categories']"
Jericho Forum,7/08/2015(Last Updated: 07/08/2015),Inactive,"The Jericho Forum, a forum of The Open Group, was a group of information security leaders with a goal of advancing secure business collaborations across global, open-network environments. *Declared success and transferred remaining operations to the Open Group's Security Forum in 2013",https://collaboration.opengroup.org/jericho/pages.php?action=show&ggid=1632 ,http://www.opengroup.org/projects/udef/uploads/40/8320/udef_ipr_policy_1-3.pdf ,https://www.opengroup.org,"['Business Models and Collaboration', 'Internet', 'Other Categories', 'Security & Cybersecurity', 'Technical Categories']"
LandXML.org,9/23/2015(Last Updated: 09/23/2015),Inactive,"LandXML was an XML-based file format containing data generated from civil engineering and land surveying software programs, used to import and export data. LandXML.org was driven by a consortium of partners for the interoperability of data utilized with the land development and civil engineering industries. *Dissolved in 2012",http://www.landxml.org/spec.aspx ,,http://www.landxml.org/,"['Construction and Facilities Management', 'Imaging', 'Industry Categories', 'Interoperability', 'Languages/Protocols', 'Software', 'Technical Categories']"
Linux.org,1/01/2019,Active,"Linux is a free Unix-based operating system. Developed under the GNU General Public License, the source code for Linux is freely available. Linux may be used for a variety of purposes including networking, software development, and as an end-user platform.",,,http://www.linux.org,"['Network', 'Open Source Initiatives', 'Significant Open Source Foundations', 'Software', 'Technical Categories']"
Material Data Management Consortium (MDMC),7/15/2015(Last Updated: 07/15/2015),Active,"The Material Data Management Consortium (MDMC) identifies critical issues in the best-practice management, analysis, and use of materials information, and develops and applies a software system to address these issues.",,,https://www.grantadesign.com/industry/collaborations/consortia/mdmc/,"['Aeronautics and Aerospace', 'Defense', 'Industry Categories', 'Manufacturing', 'Open Source Initiatives', 'Security & Cybersecurity', 'Significant Open Source Foundations', 'Software', 'Technical Categories']"
MEF,9/23/2022(Last Updated: 09/12/2022),Active,"MEF is a global industry association of network, cloud, and technology providers working to accelerate enterprise digital transformation through a better-together ecosystem. MEF delivers service standards, LSO frameworks and automation APIs, and training and certification programs for services, technologies, APIs, and professionals. The MEF 3.0 Framework enables automated delivery of standardized Carrier Ethernet, IP, Optical Transport, SD-WAN, SASE, and other digital services across multiple provider networks.",https://www.mef.net/service-standards/ ,https://www.mef.net/mef-bylaws/#article-10    ,https://www.mef.net/,"['Cloud Computing and Data', 'Digital and Distance Learning', 'Multi-Industry', 'Network']"
MLCommons Association,5/12/2022(Last Updated: 05/12/2022),Active,"MLCommons promotes the acceleration of machine learning innovation through open, collaborative engineering and development of benchmarks, datasets and best practices.",,https://mlcommons.org/en/policies/ ,https://mlcommons.org/,"['Artificial Intelligence', 'Interoperability', 'Software']"
Mobile Industry Processor Interface (MIPI) Alliance,7/15/2015(Last Updated: 07/15/2015),Active,The Mobile Industry Processor Interface (MIPI) Alliance promotes consistency in application processor interfaces through simplification of the design and implementation of hardware and software and promotes reuse and compatibility in mobile devices. The mission of the MIPI Alliance is to support the mobile industry by deploying new services to mobile users through the establishment of specifications for hardware and software interfaces to mobile application processors.,http://www.mipi.org/specifications ,See Section 3.https://2384176.fs1.hubspotusercontent-na1.net/hubfs/2384176/governing-documents/mipi-membership-agreement-2019.pdf ,http://www.mipi.org/,"['Architecture and Infrastructure', 'Automotive', 'Hardware', 'Industry Categories', 'Internet of Things', 'Interoperability', 'Manufacturing', 'Other Categories', 'Promotional & Trade Associations', 'Semiconductors', 'Software', 'Technical Categories', 'Wireless and Mobile']"
MPAI COMMUNITY,8/12/2022(Last Updated: 08/12/2022),Active,"MPAI Community is an international non-profit organisation with the mission to promote the efficient use of data by Moving Picture, Audio and Data Coding and Decoding, especially using new technologies such as Artificial Intelligence, and Technologies that facilitate integration of Coding components in ICT systems, and Bridging the gap between Technical Specifications and their practical use through the development of IPR Guidelines, such as Framework Licences and other instruments.",https://mpai.community/standards/ ,https://mpai.community/about/the-mpai-patent-policy/ ,https://mpai.community/,"['Artificial Intelligence', 'Audio/Video/Multimedia', 'Cloud Computing and Data', 'Europe']"
Multimedia Mobile Access Communications Systems Promotion Council (MMAC-PC),9/30/2015(Last Updated: 09/30/2015),Inactive,"The Multimedia Mobile Access Communications Systems Promotion Council (MMAC-PC) developed MMAC, a mobile communication system to transmit high-speed, high-quality multimedia information to optical fiber networks. The Council's activities included investigations of system specifications, demonstrative experiments, information exchange, and popularization activities. *Dissolved in 2012 and transferred operations to ARIB ADWICS working groups",,,http://www.arib.or.jp/mmac/e/,"['Architecture and Infrastructure', 'Audio/Video/Multimedia', 'Internet', 'Technical Categories', 'Wireless and Mobile']"
National Association  of Regulatory Utility  Commissioners (NARUC),7/15/2015(Last Updated: 07/15/2015),Active,"The National Association of Regulatory Utility Commissioners (NARUC) is a non-profit organization representing the State public service commissioners who regulate the utilities that provide essential services such as energy, telecommunications, water, and transportation.",http://www.naruc.org/about/proposed-policies-and-procedures-final-november-2013-docx.pdf ,,http://www.naruc.org/,"['Business Models and Collaboration', 'Industry Categories', 'Natural and Environmental Sciences', 'Other Categories', 'Power and SmartGrid', 'Promotional & Trade Associations', 'Sustainability, Efficiency and Green Initiatives']"
National Law Enforcement Telecommunication System (NLETS),7/15/2015(Last Updated: 07/15/2015),Active,"NLets is a non-profit corporation that maintains the National Law Enforcement Telecommunications System (NLETS), an interstate justice and public safety network for the secure exchange of law enforcement, criminal justice, and public safety-related information.",,,http://www.nlets.org/,"['Americas', 'De Jure Standards Development Organizations', 'Defense', 'Industry Categories', 'Interoperability', 'National', 'Security & Cybersecurity', 'Select by Geography', 'Technical Categories', 'Telecom']"
Next G Alliance,5/12/2022(Last Updated: 05/12/2022),Active,"The Next G Alliance promotes North American mobile technology leadership through advancing North American global leadership over the 5G evolutionary path and 6G early development, creating a Next G development roadmap, development of a set of national priorities to influence government applied research funding and promote incentivized government actions, and progress a North American model that promotes development across the full lifecycle of research to realization, aligned with commercialization outcomes.",,Found in Section 10.4 of ATIS Operating Procedureshttps://www.atis.org/policy/operating-procedures/ ,https://nextgalliance.org/,"['Americas', 'Information and Communication Technology', 'Internet', 'Interoperability', 'Network', 'Wireless and Mobile']"
NVM Express,9/14/2018(Last Updated: 09/14/2018),Active,"NVM Consortium develops the NVM Express specifications, which provides a common baseline management feature set across all NVMe devices and systems.",https://nvmexpress.org/resources/specifications/ ,https://nvmexpress.org/wp-content/uploads/nvme_iprpolicy_final5.pdf ,http://www.nvmexpress.org/,"['Consumer Electronics and Content', 'Electronics', 'Hardware', 'Industry Categories', 'Information and Communication Technology', 'Manufacturing', 'Technical Categories']"
One Platform Foundation,7/22/2015(Last Updated: 07/22/2015),Active,"The One Platform Foundation is a global, open-source initiative promting the Android ecosystem by enabling developers to easily code and submit their apps across multiple alternative appstores.",https://github.com/orgs/onepf/repositories ,,https://github.com/onepf,"['Other Categories', 'Promotional & Trade Associations', 'Technical Categories', 'Wireless and Mobile']"
Open Archives Initiative (OAI),1/01/2019,Active,"The Open Archives Initiative develops and promotes interoperability standards that aim to facilitate the dissemination of digital content. Primary focus is the promotion of broad access to digital resources for eScholarship, eLearning, and eScience, and development of related specifications.",http://www.openarchives.org/documents/ ,,http://www.openarchives.org/,"['Digital and Distance Learning', 'Industry Categories', 'Interoperability', 'Languages/Protocols', 'Technical Categories']"
Open Container Initiative,4/06/2016(Last Updated: 04/06/2016),Active,"The Open Container Initiative is an open governance structure, formed under the auspices of the Linux Foundation, for the purpose of developing open industry standards around container formats and runtime.",https://github.com/opencontainers/runtime-spec ,http://www.linuxfoundation.org/terms ,https://www.opencontainers.org/,"['Languages/Protocols', 'Technical Categories']"
Open DeviceNet Vendor Association (ODVA),10/07/2015(Last Updated: 10/07/2015),Active,"The Open DeviceNet Vendor Association (ODVA) is an international association of automation companies that supports network technologies based on the Common Industrial Protocol (CIP). ODVA develops and manages these technologies, and assists manufacturers and users of CIP Networks through its activities in standards development, certification, vendor education and industry awareness.",https://www.odva.org/subscriptions-services/specifications/ ,https://www.odva.org/wp-content/uploads/2020/05/pub00207r2_odva-policy-regarding-intellectual-property.pdf ,http://www.odva.org/,"['Industry Categories', 'Interoperability', 'Languages/Protocols', 'Manufacturing', 'Network', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
Open Information Security Foundation (OISF),10/07/2015(Last Updated: 10/07/2015),Active,"The Open Information Security Foundation (OISF) develops open source IDS/IPS to build a next generation IDS/IPS engine. OISF also engages the open source security community to identify current and future IDS/IPS needs and desires. OISF's primary goal is to remain on the leading edge of open source IDS/IPS development, community needs and objectives.",https://redmine.openinfosecfoundation.org/projects/suricata/wiki/suricata_user_guide ,,http://www.openinfosecfoundation.org/,"['Architecture and Infrastructure', 'Security & Cybersecurity', 'Technical Categories']"
Open NAND Flash Interface (ONFi),10/07/2015(Last Updated: 10/07/2015),Active,The Open NAND Flash Interface Working Group (ONFi) develops open standards for NAND flash memory and devices that communicate with them.,http://onfi.org/specifications/ ,,http://onfi.org/,"['Consumer Electronics and Content', 'Electronics', 'Hardware', 'Industry Categories', 'Software', 'Technical Categories']"
Open Source Applications Foundation (OSAF),10/14/2015(Last Updated: 10/14/2015),Active,"The Open-Source Applications Foundation (OSAF) promoted wide adoption of Open-Source application software with the ultimate goal of building an innovative, sustainable alternative application.",,,https://en.wikipedia.org/wiki/open_source_applications_foundation,"['Open Source Initiatives', 'Significant Open Source Foundations', 'Software', 'Technical Categories']"
Open Video Alliance,10/14/2015(Last Updated: 10/14/2015),Inactive,The Open Video Alliance promoted the adoption of standards-based open video technologies on the web.,,,,"['Audio/Video/Multimedia', 'Internet', 'Technical Categories']"
OpenBel Consortium,10/14/2015(Last Updated: 10/14/2015),Active,"The OpenBel Consortium comprises the BEL Language, BEL Framework, and BEL Portal. Biological Expression Language (BEL) is a language for representing scientific findings in the life sciences in a computable form. The BEL Portal was designed and developed by Selventa to promote the adoption and use of the BEL Language and BEL Framework software.",,,https://github.com/openbel/openbel-framework,"['BioIT and Life Sciences', 'Industry Categories', 'Languages/Protocols', 'Software', 'Technical Categories']"
OpenIB Alliance,10/14/2015(Last Updated: 10/14/2015),Inactive,"The OpenIB Alliance was an industry consortium that developed, tested, licensed and distributed cross-platform, open-source software for high-performance, low-latency computing. *Now OpenFabrics Alliance",,See Section 4.https://www.openfabrics.org/resources/document-downloads/doc_download/37-membership-agreement-pdf.html ,http://www.openfabrics.org/,"['Interoperability', 'Network', 'Software', 'Technical Categories']"
OpenRTB Consortium,10/14/2015(Last Updated: 10/14/2015),Active,"OpenRTB promotes growth in the real-time bidding (RTB) marketplace by developing open industry standards for communication between buyers of advertising and sellers of publisher inventory. In particular, OpenRTB seeks to reduce the cost and increase the consistency of managing the synchronization of advertiser requirements and publisher requirements with all players in the ecosystem.",,,https://iabtechlab.com/standards/openrtb/,"['e-Commerce', 'Industry Categories', 'Internet', 'Interoperability', 'Technical Categories']"
Organisation for Economic Cooperation and Development (OECD),10/21/2015(Last Updated: 10/21/2015),Active,"The Organization for Economic Co-operation and Development (OECD) is a forum of countries promoting democracy and the market economy by providing a platform to compare policy experiences, seek answers to common problems, identify good practices, and co-ordinate domestic and international policies of its members.",,,http://www.oecd.org/,"['Business Models and Collaboration', 'Industry Categories', 'Multi-Industry', 'Other Categories']"
OW2 Consortium,10/21/2015(Last Updated: 10/21/2015),Active,"OW2, an independent industry community, develops open-source software infrastructure (middleware and generic applications) and open source animation of a business ecosystem for the development of community-based code.",http://www.ow2.org/view/activities/projects_by_function ,https://www.ow2.org/download/membership_joining/legal_resources/ow2c-ipr.pdf?rev=1.5 ,http://ow2.org/,"['Architecture and Infrastructure', 'Open Source Initiatives', 'Significant Open Source Foundations', 'Software', 'Technical Categories']"
"PDES, Inc.",11/09/2018(Last Updated: 11/09/2018),Active,Supports the digital enterprise through the development and implementation of information and product exchange and data standards.,,,https://pdesinc.org/,"['Aeronautics and Aerospace', 'Automotive', 'Cloud Computing and Data', 'Electronics', 'Industry Categories', 'Information and Communication Technology', 'Manufacturing', 'Multi-Industry', 'Security & Cybersecurity', 'Software', 'Technical Categories']"
Picture Services Network (PSN),10/21/2015(Last Updated: 10/21/2015),Inactive,"Picture Services Network (PSN) maintained the PSN Directory Service. PSN was an organization affiliated with The International Imaging Industry Association (I3A), which was creating a suite of CPXe interoperability specifications. *Inactive",,,,"['Imaging', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
PRIME Alliance,10/21/2015(Last Updated: 10/21/2015),Active,"The PRIME Alliance maintains a forum for the development of an open, single specification and standard for narrowband power line for Smart Grid products and services. PRIME Alliance promotes demand for products and services based on the worldwide standard, and promotes the broad adoption and use of the specification as well as promoting multi-vendor interoperability and compatibility with the global standard.",https://www.prime-alliance.org/wp-content/uploads/2021/12/prime-spec_v1.420210914.pdf ,Annex 4https://www.prime-alliance.org/wp-content/uploads/2021/10/2021-prime-application-form-partnership-agreement.pdf ,http://www.prime-alliance.org/,"['Industry Categories', 'Interoperability', 'Other Categories', 'Power and SmartGrid', 'Promotional & Trade Associations', 'Technical Categories', 'Telecom']"
Project Open Addressable Ready (OAR),4/22/2019(Last Updated: 04/22/2019),Active,"Project Open Addressable Ready provides technical specifications and provisions for the selling, targeting and measurement of TV advertising within privacy-compliant TV environments.",,,https://projectoar.org/,"['Audio/Video/Multimedia', 'Consumer Electronics and Content', 'Electronic Media', 'Industry Categories', 'Software', 'Technical Categories']"
QuEST Forum,10/21/2015(Last Updated: 10/21/2015),Active,"QuEST Forum develops quality requirements and supports collaborative activities to advance quality, reliability, and performance of information and communications technology (ICT) products and services globally.",,,http://www.questforum.org/,"['Business Models and Collaboration', 'Consumer Electronics and Content', 'Industry Categories', 'Information and Communication Technology', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories', 'Telecom']"
Remote Direct Memory Access Consortium (RDMA),10/28/2015(Last Updated: 10/28/2015),Active,"The Remote Direct Memory Access (RDMA) Consortium develops the architectural specifications necessary to implement products that provide RDMA over TCP/IP networks, including Ethernet-based networks.",http://www.rdmaconsortium.org/ ,,http://www.rdmaconsortium.org/,"['Architecture and Infrastructure', 'Internet', 'Network', 'Technical Categories']"
SAE Aerospace Materials Specifications-Additive Manufacturing Data Consortium (SAE AMS-AMDC),10/01/2021(Last Updated: 10/01/2021),Active,SAE AMS-AMDC promotes the building and sharing of datasets to build new material specifications that will support further uses of additive manufacturing. It will create specifications that are created by the aerospace community for the aerospace community.  The acceptance values will be based on actual statistically significant data as applied to additive materials and processes. The SAE AMS-AMDC consortium’s collaboration allows the generation of that data through the pooling of resources across the aerospace sector.,https://www.sae.org/standards/ ,https://www.sae-itc.com/legal-policies/ip-policy ,https://www.sae-itc.com/programs/amdc,['Aeronautics and Aerospace']
SCMS Manager,5/12/2022(Last Updated: 05/12/2022),Active,"SCMS Manager develops vehicle-to-everything (V2X) security standards for the US V2X ecosystem, including policies, procedures and guidelines to guard the security and reliability of the V2X ecosystem.",https://www.scmsmanager.org/publications/ ,,https://www.scmsmanager.org/,"['Americas', 'Automotive', 'Security & Cybersecurity']"
Secure Technology Alliance,5/13/2019(Last Updated: 05/13/2019),Active,The Secure Technology Alliance (formerly the Smart Card Alliance) promotes multiple application smart card technology. The four main priorities of the Alliance are: to influence standards that are relevant to smart card adoption and implementation; to maintain a voice in public policy that affects smart card adoption and implementation; to serve as an educational resource to its members and the industry; and to provide a forum for discussions and projects on issues surrounding smart cards.,https://www.securetechalliance.org/smart-cards-intro-standards/ ,Found in Sec. 3.11 of the Bylawshttps://www.securetechalliance.org/wp-content/uploads/secure-technology-alliance-bylaws-final-february-20-2017.pdf ,https://securetechalliance.org/,"['Credit/Debit/Smartcard', 'Industry Categories', 'Multi-Industry', 'Other Categories', 'Promotional & Trade Associations', 'Security & Cybersecurity', 'Technical Categories']"
Serial ATA International Organization (SATA-IO),10/28/2015(Last Updated: 10/28/2015),Active,"The Serial ATA International Organization (SATA-IO) develops, manages, and drives adoption of the Serial ATA specifications, a replacement for the Parallel ATA physical storage interface. The Organization comprises companies in storage, desktop, hard drive and consumer electronic companies.",https://sata-io.org/developers/purchase-specification ,See Article 15.https://www.sata-io.org/bylaws-corporate-documents ,https://www.sata-io.org/,"['Consumer Electronics and Content', 'Hardware', 'Industry Categories', 'Technical Categories']"
Simulation Interoperability Standards Organization (SISO),10/28/2015(Last Updated: 10/28/2015),Active,"Simulation Interoperability Standards Organization (SISO) promotes modeling and simulation (M&S) interoperability and reuse for the benefit of diverse M&S communities, including developers, procurers, and users, world-wide.",http://www.sisostds.org/productspublications/standards.aspx ,,http://www.sisostds.org/,"['Business Models and Collaboration', 'Industry Categories', 'Interoperability', 'Multi-Industry', 'Other Categories', 'Technical Categories']"
SmartDeviceLink (SDL) Consortium,2/15/2017(Last Updated: 02/15/2017),Active,"The SDLC is an open source community for the advancement of SmartDeviceLink (SDL), a standard set of protocols and messages that connect applications on a smartphone to a vehicle head unit.",https://www.smartdevicelink.com/docs/ ,https://d83tozu1c8tt6.cloudfront.net/static/pdfs/ip_policy.b62c1dc1c810.pdf ,https://www.smartdevicelink.com/,"['Automotive', 'Consumer Electronics and Content', 'Industry Categories', 'Information and Communication Technology', 'Languages/Protocols', 'Open Source Initiatives', 'Significant Open Source Foundations', 'Technical Categories']"
Speech Applications Language Tags Forum (SALT Forum),10/28/2015(Last Updated: 10/28/2015),Inactive,"The Speech Application Language Tags (SALT) Forum developed a royalty-free, platform-independent standard that provided multimodal and telephony-enabled access to information, applications, and Web services from PCs, telephones, tablet PCs, and wireless personal digital assistants (PDAs). *Dissolved in 2003",,,http://www.saltforum.org,"['Industry Categories', 'Interoperability', 'Languages/Protocols', 'Technical Categories', 'Telecom', 'Wireless and Mobile']"
Standards Engineering Society (SES),10/28/2015(Last Updated: 10/28/2015),Active,"The Standards Engineering Society (SES) promotes the use of standards and standardization in and around the engineering sector. SES services include: a certification program that recognizes ability, achievement, and technical competence in the areas of standards development, standards management, standards application, and standards information; and continuing education courses for individuals or organizations to improve standardization skills.",,,http://www.ses-standards.org/,"['Industry Categories', 'Multi-Industry', 'Other Categories', 'Promotional & Trade Associations']"
Sustainability Consortium,10/28/2015(Last Updated: 10/28/2015),Active,"The Sustainability Consortium develops transparent methodologies, tools, and strategies to promote a new generation of products and supply networks that address environmental, social, and economic imperatives. ",,,http://www.sustainabilityconsortium.org/,"['Advocacy/Lobbying', 'Clean Tech & Renewable Energy', 'Industry Categories', 'Multi-Industry', 'Other Categories', 'Sustainability, Efficiency and Green Initiatives']"
Telecommunication Technology Committee (TTC),3/23/2016(Last Updated: 03/23/2016),Active,TTC develops and disseminates standards in the field of information and communications technology (ICT). TTC also conducts surveys and research on information and communication networks.,,http://www.ttc.or.jp/e/intro/rules/ru6/ ,http://www.ttc.or.jp/e/,"['Asia', 'Industry Categories', 'Information and Communication Technology', 'Select by Geography', 'Technical Categories', 'Telecom']"
The CAx Implementor Forum (CAx-IF),4/12/2019(Last Updated: 04/12/2019),Active,"The CAx Implementor Forum promotes the acceleration of Computer Aided Design (CAD) and Computer Aided Engineering (CAE) translator development through common test activity that combines related activities of AFNeT's, PDES, Inc.'s STEPnet and prostep ivip's RoundTable.",https://www.cax-if.org/library/index.html ,,https://www.cax-if.org/index.html,"['Industry Categories', 'Multi-Industry', 'Software', 'Technical Categories']"
The Open 19 Foundation,11/11/2019(Last Updated: 11/11/2019),Active,"The Open19 Foundation develops an industry specification which defines a form factor, power distribution, and network connectivity for servers, storage and other elements intended to be deployed in a 19-in. rack that can fit within a 2RU size or smaller.",,,https://www.open19.org/,"['Hardware', 'Open Source Initiatives', 'Technical Categories']"
The Open Platform 3.0 Forum,8/26/2019(Last Updated: 08/26/2019),Active,"The Open Platform 3.0 Forum is designed to assist enterprise and IT architects by specifying basic architecture models in which platforms interact with each other and with other system components, and to assist digital platform vendors to produce interoperable platforms.",http://www.opengroup.org/openplatform3.0/op3-snapshot/index.htm ,https://www.opengroup.org/standardsprocess/patentpolicy.html ,https://www.opengroup.org/forum/open-platform-30%e2%84%a2-forum,"['Business Models and Collaboration', 'Cloud Computing and Data', 'Internet of Things', 'Interoperability', 'Languages/Protocols', 'Network', 'Technical Categories']"
TM Forum,11/04/2015(Last Updated: 11/04/2015),Active,"The TM Forum (formerly TeleManagement Forum and the Network Management Forum) promotes business effectiveness for service providers and their suppliers, and provides information and support to help its members with creating and delivering profitable services. These include industry research and benchmarks, technology roadmaps, best-practice guidebooks, software standards and interfaces, as well as certified training, conferences, and publications. The Forum also provides its member community with marketing and networking opportunities.",http://www.tmforum.org/downloadcenter/14948/home.html ,https://www.tmforum.org/wp-content/uploads/2019/03/ipr_v6_jan_2018_final.pdf ,http://www.tmforum.org/browse.aspx,"['Industry Categories', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Software', 'Technical Categories', 'Telecom']"
TV Anytime Forum,11/04/2015(Last Updated: 11/04/2015),Inactive,The global TV-Anytime Forum developed specifications to enable audio-visual and other services based on mass-market high volume digital storage in consumer platforms.  *Dissolved in 2005,http://www.tv-anytime.org/ftp/index.html ,See Section 7.6.http://www.tv-anytime.org/members/tvaf_bylaws.doc ,http://www.tv-anytime.org,"['Audio/Video/Multimedia', 'Consumer Electronics and Content', 'Electronic Media', 'Industry Categories', 'Interoperability', 'Multi-Industry', 'Software', 'Technical Categories']"
Unified Display Interface (UDI),11/04/2015(Last Updated: 11/04/2015),Inactive,"Unified Display Interface (UDI) promoted the UDI digital video interface specification, based on Digital Visual Interface. UDI was specifically targeted towards computer monitor and video card manufacturers and did not support the transfer of audio data. *Inactive since 2007",,,http://www.udiwg.org/,"['Audio/Video/Multimedia', 'Consumer Electronics and Content', 'Industry Categories', 'Interoperability', 'Technical Categories']"
Universal Transportable Memory Association (UTMA),11/04/2015(Last Updated: 11/04/2015),Inactive,"The UTMA promoted the promulgation of the FISH Memory card, based on USB   2.0 communications. UTMA advocated a standard that works across multiple platforms and technology products, including cameras, computers,   PDAs, music devices and other products that require portable digital memory. *Inactive",,,,"['Consumer Electronics and Content', 'Electronics', 'Hardware', 'Industry Categories', 'Interoperability', 'Technical Categories']"
Video Services Forum (VSF),2/24/2016(Last Updated: 02/24/2016),Active,"VSF promotes interoperability, quality metrics, and education for video networking technologies. VSF's activities include providing forums to identify issues involving the development, engineering, installation, testing and maintenance of video networking technologies; exchanging non-proprietary information to promote the development of video networking technology and foster resolution of issues common to the video services industry; and promoting interoperability by contributing to and supporting development of standards by national and international standards bodies.",,http://www.videoservicesforum.org/vsfbylaws2-13-2004.pdf ,http://www.videoservicesforum.org/,"['Audio/Video/Multimedia', 'Consumer Electronics and Content', 'Electronic Media', 'Industry Categories', 'Interoperability', 'Manufacturing', 'Network', 'Technical Categories']"
Voluntary Interindustry Commerce Standards Association (VICS),11/11/2015(Last Updated: 11/11/2015),Inactive,"The Voluntary Interindustry Commerce Standards Association (VICS) promoted the efficiency and effectiveness of the retail supply chain and improving product availability to the consumer by providing leadership and encouragement in the identification, development and implementation of volunteer standards, protocols, guidelines, and other mechanisms. *Merged with GS1 US in 2012 to form the GS1 US Apparel and General Merchandise Initiative",http://www.gs1us.org/industries/apparel-general-merchandise/relevant-standards ,,http://www.gs1us.org/industries/apparel-general-merchandise,"['e-Commerce', 'Industry Categories', 'Interoperability', 'Languages/Protocols', 'Manufacturing', 'Technical Categories']"
Web3D Consortium,11/11/2015(Last Updated: 11/11/2015),Active,"The Web3D Consortium promotes the creation of open standards for Web3D specifications, and the worldwide demand for products based on these standards through the sponsorship of market and user education programs. The Web3D Consortium supports a collaborative environment and drives programs to develop and advance an open standard, royalty-free 3D interchange format based on XML, along with tools to represent and communicate 3D scenes and objects between diverse authoring and presentation hardware and software on the web, distributed networks, and mobile devices.",http://www.web3d.org/x3d/specifications/ ,See Intellectual Property Rights (IPR) Policy on Join the Web3D Consortium page at:https://www.web3d.org/join ,http://www.web3d.org/,"['Audio/Video/Multimedia', 'Internet', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories', 'Wireless and Mobile']"
Wireless Gigabit Alliance (WiGig),11/11/2015(Last Updated: 11/11/2015),Inactive,The Wireless Gigabit Alliance (WiGig) developed and promoted the adoption of multi-gigabit speed wireless communications technology operating over the unlicensed 60 GHz frequency band. *Merged with the Wi-Fi Alliance in 2013,https://www.wi-fi.org/knowledge-center/published-specifications ,https://www.wi-fi.org/knowledge-center/published-specifications ,http://wirelessgigabitalliance.org/,"['Audio/Video/Multimedia', 'Interoperability', 'Network', 'Technical Categories', 'Wireless and Mobile']"
WirelessHD Consortium,11/11/2015(Last Updated: 11/11/2015),Active,"The WirelessHD Consortium develops specifications for a digital network interface for wireless high-definition signal transmission for computer electronics products.  The WirelessHD standard, finalized in 2008, is based on the 60 GHz spectrum and achieves high-speed rates of up to 10 Gbps at ten meters for consumer electronics, personal computing, and portable device products. ",https://www.wi-fi.org/knowledge-center/published-specifications ,,http://www.wirelesshd.org/,"['Audio/Video/Multimedia', 'Business Models and Collaboration', 'Consumer Electronics and Content', 'Electronics', 'Industry Categories', 'Interoperability', 'Network', 'Other Categories', 'Technical Categories', 'Wireless and Mobile']"
Worldwide Interoperability for Microwave Access (WiMAX) Forum,11/11/2015(Last Updated: 11/11/2015),Active,The Worldwide Interoperability for Microwave Access (WiMAX) Forum promotes and certifies interoperability of broadband wireless access equipment that conforms to the IEEE 802.16 and ETSI HIPERMAN standards. WiMAX also promotes specifying minimum air-interface performance between various vendors' products and certifying products that meet those performance benchmarks.,https://wimaxforum.org/techspec ,https://wimaxforum.org/document/download/wimax_forum_ipr_policy_2006_09_25_final ,http://www.wimaxforum.org,"['Industry Categories', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories', 'Telecom', 'Wireless and Mobile']"
